CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
4230266,AGMI,F8382,,,"7,48",15,"-0,33",7,"0,15",15,"0,19",15,"-0,09",34,"-0,22",10,"-0,42",10,"2,59",22,"2,96",23,"-0,03",28,"3,53",25,"3,05",8
4527205,AGMI,F9507,,,"7,48",10,"-0,42",5,"0,00",12,"-0,07",12,"1,40",34,"2,21",8,"3,16",7,"1,99",15,"3,63",15,"5,07",17,"3,80",17,"4,74",4
4794957,AGMI,G2158,,,"7,48",15,"-0,52",7,"0,62",17,"0,81",17,"0,94",35,"1,52",9,"2,27",9,"0,18",21,"0,64",22,"8,35",28,"3,34",30,"4,64",5
4230880,AGMI,F6890,,,"7,47",19,"-0,23",9,"0,21",18,"0,34",35,"-1,18",34,"0,96",13,"1,52",13,"3,65",18,"5,40",19,"4,99",21,"5,00",32,"1,84",8
4231115,AGMI,F8047,,,"7,47",18,"-0,07",7,"0,34",32,"-0,01",35,"1,34",35,"2,33",9,"3,05",9,"2,95",23,"2,14",25,"5,03",30,"7,14",32,"2,60",7
4230127,AGMI,F8147,,,"7,47",11,"-0,18",3,"0,47",6,"0,50",5,"-0,71",27,"0,50",5,"0,62",5,"2,59",13,"4,24",14,"8,56",20,"8,59",23,"4,05",3
4527296,AGMI,F9226,,,"7,47",19,"-0,35",8,"-0,13",32,"-0,26",36,"0,09",35,"2,23",11,"3,16",10,"-0,28",24,"-0,46",25,"1,77",30,"1,97",33,"6,84",7
4528254,AGMI,G415,,,"7,47",17,"-0,36",7,"-0,05",32,"-0,18",36,"0,69",35,"1,81",9,"2,62",9,"1,34",23,"2,68",25,"1,28",30,"3,65",32,"5,20",6
5074277,AGMI,G2520,,,"7,47",17,"0,15",7,"-0,09",30,"-0,48",35,"-0,69",34,"1,25",9,"1,63",9,"3,20",22,"5,13",24,"4,76",29,"-0,18",31,"3,72",5
5074663,AGMI,G2937,,,"7,47",17,"-0,33",7,"-0,17",32,"-0,03",35,"-0,47",35,"1,00",9,"1,42",9,"1,71",24,"2,53",25,"5,12",30,"2,78",32,"5,40",6
5075212,AGMI,G3446,,,"7,47",17,"-0,80",6,"-0,31",16,"-0,18",16,"1,24",33,"0,16",8,"0,46",8,"0,88",22,"2,02",24,"-2,08",29,"-0,08",31,"4,95",6
1000188,AGMI,C5012,,,"7,47",13,"-0,14",7,"-0,41",25,"-0,41",31,"-0,07",27,"0,86",6,"1,05",6,"2,54",14,"3,15",15,"3,68",21,"8,43",24,"3,02",7
1204328,AGMI,C6708,,,"7,47",15,"-0,39",10,"0,14",14,"0,17",14,"-0,02",32,"1,73",15,"2,32",15,"2,85",22,"4,23",23,"4,58",23,"7,21",23,"2,64",10
1440158,AGMI,C8896,,,"7,47",16,"-0,35",9,"0,06",14,"-0,23",14,"-0,70",34,"2,00",13,"2,89",13,"2,26",23,"3,76",24,"8,15",23,"5,61",25,"1,35",9
1441300,AGMI,D172,,,"7,47",19,"-0,36",12,"-0,13",18,"-0,15",18,"0,13",35,"-0,26",16,"0,01",16,"2,28",24,"3,83",25,"4,94",26,"5,34",27,"0,75",12
2210576,AGMI,D8647,,,"7,47",18,"-0,21",11,"0,04",17,"0,00",17,"0,69",22,"0,16",16,"0,27",16,"3,21",24,"5,17",25,"6,96",26,"5,88",27,"3,96",12
2386730,AGMI,D9836,,,"7,47",12,"-0,50",4,"0,99",25,"1,08",31,"-0,18",28,"1,83",6,"2,54",6,"0,02",14,"0,00",15,"10,45",21,"12,05",24,"1,59",4
